Id,salary
9000,762793
9001,562331
9002,304565
9003,1000000
9004,166855
9005,474529
9006,131039
9007,132062
9008,381894
9009,481553
9010,171971
9011,921581
9012,887966
9013,911281
9014,924926
9015,502626
9016,158668
9017,414676
9018,377003
9019,495602
9020,307351
9021,731102
9022,414903
9023,622037
9024,886264
9025,808533
9026,926606
9027,927306
9028,181181
9029,853509
9030,888233
9031,509650
9032,135132
9033,615013
9034,345886
9035,307351
9036,499114
9037,349142
9038,402278
9039,282277
9040,948170
9041,1000000
9042,479049
9043,176064
9044,417281
9045,403013
9046,471017
9047,1000000
9048,926830
9049,828323
9050,600964
9051,139225
9052,162761
9053,169925
9054,583404
9055,276705
9056,377003
9057,321882
9058,327657
9059,326854
9060,534235
9061,992651
9062,246058
9063,349142
9064,919029
9065,676790
9066,136155
9067,392710
9068,377650
9069,499114
9070,148435
9071,172995
9072,456969
9073,262774
9074,259988
9075,551795
9076,287849
9077,132062
9078,304565
9079,348492
9080,931087
9081,874667
9082,369440
9083,674657
9084,1000000
9085,755305
9086,307351
9087,148435
9088,625549
9089,379789
9090,811198
9091,677948
9092,175041
9093,600964
9094,668922
9095,534235
9096,520186
9097,718406
9098,719274
9099,450627
9100,859224
9101,453967
9102,335212
9103,558819
9104,132062
9105,251630
9106,562331
9107,371431
9108,982152
9109,610874
9110,992651
9111,780104
9112,437436
9113,143319
9114,896664
9115,889966
9116,175041
9117,454647
9118,147412
9119,1000000
9120,388574
9121,262774
9122,761770
9123,544771
9124,523698
9125,810671
9126,1000000
9127,310137
9128,164808
9129,348152
9130,527211
9131,282277
9132,149458
9133,1000000
9134,885999
9135,481553
9136,882919
9137,924304
9138,643039
9139,669400
9140,268346
9141,548283
9142,509650
9143,1000000
9144,175041
9145,353473
9146,399163
9147,688835
9148,352963
9149,385407
9150,282277
9151,572868
9152,862151
9153,812994
9154,336375
9155,692781
9156,467505
9157,254416
9158,1000000
9159,172995
9160,1000000
9161,607989
9162,937871
9163,671214
9164,980407
9165,965171
9166,412411
9167,1000000
9168,248844
9169,520186
9170,777325
9171,911359
9172,139225
9173,789293
9174,976004
9175,465574
9176,168901
9177,315709
9178,149458
9179,282277
9180,166855
9181,398088
9182,763253
9183,808851
9184,732047
9185,279491
9186,166855
9187,874642
9188,156622
9189,160715
9190,143319
9191,1000000
9192,358964
9193,858788
9194,618525
9195,177088
9196,530723
9197,629061
9198,460481
9199,720017
9200,363072
9201,728899
9202,337998
9203,499114
9204,171971
9205,377003
9206,478041
9207,467505
9208,1000000
9209,728534
9210,402616
9211,959621
9212,428151
9213,271133
9214,163785
9215,893840
9216,884241
9217,460481
9218,160715
9219,301779
9220,285063
9221,735162
9222,513162
9223,161738
9224,312923
9225,307351
9226,1000000
9227,140249
9228,435851
9229,730138
9230,152528
9231,861604
9232,868845
9233,618525
9234,456572
9235,171971
9236,775223
9237,358964
9238,523698
9239,134109
9240,164808
9241,869313
9242,586916
9243,154575
9244,1000000
9245,791271
9246,145365
9247,1000000
9248,611501
9249,142295
9250,973359
9251,147412
9252,158668
9253,966762
9254,1000000
9255,155598
9256,921409
9257,144342
9258,446210
9259,332426
9260,731559
9261,377003
9262,146389
9263,335187
9264,830249
9265,1000000
9266,895599
9267,749266
9268,404144
9269,374024
9270,676080
9271,499114
9272,408674
9273,314239
9274,989213
9275,324068
9276,964024
9277,363072
9278,977855
9279,353416
9280,138202
9281,165831
9282,523698
9283,968956
9284,179134
9285,534235
9286,471017
9287,722094
9288,471017
9289,586916
9290,312923
9291,635235
9292,859308
9293,849152
9294,410713
9295,271133
9296,153552
9297,158668
9298,349906
9299,936112
9300,152528
9301,153552
9302,153552
9303,346356
9304,1000000
9305,176064
9306,927182
9307,358624
9308,340784
9309,544771
9310,325619
9311,516674
9312,1000000
9313,445079
9314,925505
9315,738151
9316,953195
9317,329640
9318,329640
9319,315709
9320,854295
9321,454251
9322,429679
9323,944611
9324,391406
9325,367572
9326,926777
9327,379516
9328,373857
9329,175041
9330,933639
9331,152528
9332,829917
9333,895070
9334,866800
9335,276705
9336,154575
9337,1000000
9338,906357
9339,343057
9340,399673
9341,394805
9342,534235
9343,164808
9344,478041
9345,373514
9346,456969
9347,136155
